scheme,capacity,rate,revoked,distribution,workload_seed,cover_nodes,public_state_bytes,authority_refresh_ms,verified,measurement,state_semantics,token_bytes
HiddenCover,1048576,0.05,52429,clustered,7.0,19.0,720,2.4302,True,7,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,clustered,8.0,20.0,752,1.7796999999999998,True,8,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,clustered,9.0,24.0,880,1.782,True,9,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,clustered,10.0,19.0,720,1.9424,True,10,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,clustered,11.0,19.0,720,1.7488,True,11,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,clustered,12.0,21.0,784,2.3072,True,12,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,clustered,13.0,22.0,816,1.7586,True,13,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,clustered,14.0,15.0,592,1.7906,True,14,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,clustered,15.0,20.0,752,1.8537,True,15,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,clustered,16.0,24.0,880,1.7379,True,16,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,clustered,17.0,25.0,912,1.8294,True,17,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,clustered,18.0,18.0,688,1.7843,True,18,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,clustered,19.0,25.0,912,2.0816,True,19,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,random,0.0,186686.0,5974064,117.8155,True,0,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,random,1.0,186940.0,5982192,135.3047,True,1,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,random,2.0,186305.0,5961872,130.61159999999998,True,2,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,random,3.0,186989.0,5983760,118.7831,True,3,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,random,4.0,186773.0,5976848,119.696,True,4,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,random,5.0,186530.0,5969072,128.2592,True,5,authenticated Complete-Subtree Cover,
