scheme,capacity,revoked,distribution,workload_seed,measurement,cover_nodes,holder_upload_bytes,holder_download_bytes,holder_compute_ms,server_per_holder_ms,verified,zero_semantics
HiddenCover,16384,10,clustered,4.0,22,14.0,0,560,0.0287,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,4.0,23,14.0,0,560,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,4.0,24,14.0,0,560,0.0287,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,4.0,25,14.0,0,560,0.0291,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,4.0,26,14.0,0,560,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,4.0,27,14.0,0,560,0.0287,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,4.0,28,14.0,0,560,0.0287,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,4.0,29,14.0,0,560,0.0289,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,5.0,0,12.0,0,496,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,5.0,1,12.0,0,496,0.0291,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,5.0,2,12.0,0,496,0.0287,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,5.0,3,12.0,0,496,0.0289,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,5.0,4,12.0,0,496,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,5.0,5,12.0,0,496,0.0289,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,5.0,6,12.0,0,496,0.0287,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,5.0,7,12.0,0,496,0.0292,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,5.0,8,12.0,0,496,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,5.0,9,12.0,0,496,0.0289,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,5.0,10,12.0,0,496,0.0287,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,5.0,11,12.0,0,496,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,5.0,12,12.0,0,496,0.0287,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,5.0,13,12.0,0,496,0.0287,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,5.0,14,12.0,0,496,0.0291,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,5.0,15,12.0,0,496,0.0287,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,5.0,16,12.0,0,496,0.0287,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,5.0,17,12.0,0,496,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,5.0,18,12.0,0,496,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,5.0,19,12.0,0,496,0.0289,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,5.0,20,12.0,0,496,0.0291,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,5.0,21,12.0,0,496,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,5.0,22,12.0,0,496,0.0288,0.0,True,no private request; no individualized server witness update
