scheme,cover_nodes,padded_set_size,measurement,presentation_bytes,show_ms,verify_ms,state_check_ms,match_ms,credential_bridge_ms,cover_transform_ms,oom_ms,verified,protocol_payload_bytes,m,k,revoked,json_wire_bytes,proof_bytes
HiddenCover,64,64,25,1306,64.04129999999999,29.7799,0.058,0.0001999999999999,1.8978,12.444,49.637800000000006,True,1306,,,,,1306
HiddenCover,64,64,26,1306,59.0145,28.7035,0.0592,0.0003,1.8883,11.0271,46.0354,True,1306,,,,,1306
HiddenCover,64,64,27,1306,62.6515,33.1124,0.0576,9.99999999999e-05,1.768,13.4553,47.3666,True,1306,,,,,1306
HiddenCover,64,64,28,1306,66.08619999999999,30.434800000000003,0.0584,9.99999999999e-05,1.8262,10.7716,53.4234,True,1306,,,,,1306
HiddenCover,64,64,29,1306,59.0855,29.0691,0.058,0.0003,2.2732,10.835,45.9147,True,1306,,,,,1306
HiddenCover,128,128,0,1386,120.2716,50.0894,0.068,9.99999999999e-05,1.9246,22.8138,95.4616,True,1386,,,,,1386
HiddenCover,128,128,1,1386,120.9784,51.4155,0.0652,0.0001999999999999,1.838,21.7854,97.2832,True,1386,,,,,1386
HiddenCover,128,128,2,1386,115.9645,49.7206,0.072,9.99999999999e-05,2.0164,21.2578,92.6134,True,1386,,,,,1386
HiddenCover,128,128,3,1386,120.2616,51.3868,0.0637,9.99999999999e-05,2.0326,21.841,96.3204,True,1386,,,,,1386
HiddenCover,128,128,4,1386,119.8247,49.8867,0.0686,9.99999999999e-05,1.8613,22.2742,95.6168,True,1386,,,,,1386
HiddenCover,128,128,5,1386,121.2109,49.0,0.0650999999999999,0.0001999999999999,1.9477,22.7438,96.4509,True,1386,,,,,1386
HiddenCover,128,128,6,1386,120.5984,47.522,0.0683,9.99999999999e-05,2.0522,24.0362,94.4371,True,1386,,,,,1386
HiddenCover,128,128,7,1386,118.7298,48.2923,0.0688999999999999,9.99999999999e-05,2.2237,20.9136,95.519,True,1386,,,,,1386
HiddenCover,128,128,8,1386,113.4726,50.6065,0.0707,9.99999999999e-05,2.689,21.621,89.08879999999999,True,1386,,,,,1386
HiddenCover,128,128,9,1386,114.9061,48.9373,0.0716,9.99999999999e-05,2.3428,21.4956,90.9923,True,1386,,,,,1386
HiddenCover,128,128,10,1386,123.8144,54.2124,0.0674,9.99999999999e-05,1.964,21.9159,99.8632,True,1386,,,,,1386
HiddenCover,128,128,11,1386,132.1086,49.9622,0.0689999999999999,9.99999999999e-05,1.865,26.5284,103.6429,True,1386,,,,,1386
HiddenCover,128,128,12,1386,115.5495,47.2746,0.0617,0.0001999999999999,1.9942,20.8652,92.6227,True,1386,,,,,1386
HiddenCover,128,128,13,1386,123.1216,47.633300000000006,0.1118,0.0003,2.911,22.8864,97.2071,True,1386,,,,,1386
HiddenCover,128,128,14,1386,138.879,48.7994,0.0905,9.99999999999e-05,1.9986,33.194799999999994,103.5877,True,1386,,,,,1386
HiddenCover,128,128,15,1386,123.4705,54.4994,0.0691,0.0001999999999999,1.8948,21.2923,100.2094,True,1386,,,,,1386
HiddenCover,128,128,16,1386,127.9234,50.4264,0.0983,0.0001999999999999,2.2524,21.1591,104.4074,True,1386,,,,,1386
HiddenCover,128,128,17,1386,157.6287,59.4086,0.0793,9.99999999999e-05,2.8633,25.8045,128.87789999999998,True,1386,,,,,1386
HiddenCover,128,128,18,1386,125.7028,49.8485,0.0994,9.99999999999e-05,2.8545,23.530700000000003,99.2138,True,1386,,,,,1386
HiddenCover,128,128,19,1386,133.73669999999998,51.0099,0.091,9.99999999999e-05,2.0224,29.0713,102.5468,True,1386,,,,,1386
HiddenCover,128,128,20,1386,117.5253,55.3233,0.0687,9.99999999999e-05,1.969,23.8486,91.6357,True,1386,,,,,1386
HiddenCover,128,128,21,1386,117.3088,50.1193,0.0674,9.99999999999e-05,2.5169,20.7955,93.9258,True,1386,,,,,1386
HiddenCover,128,128,22,1386,127.7577,48.6645,0.0697,9.99999999999e-05,2.2124,24.2441,101.2281,True,1386,,,,,1386
HiddenCover,128,128,23,1386,120.4866,50.4556,0.0671,9.99999999999e-05,1.8745,21.408,97.1335,True,1386,,,,,1386
HiddenCover,128,128,24,1386,114.7603,68.2381,0.0686,9.99999999999e-05,1.9541,21.4903,91.2421,True,1386,,,,,1386
HiddenCover,128,128,25,1386,126.1214,49.7066,0.068,0.0006,2.2827,23.4845,100.2819,True,1386,,,,,1386
HiddenCover,128,128,26,1386,124.4782,50.794,0.0677,9.99999999999e-05,1.7956,24.3863,98.2226,True,1386,,,,,1386
HiddenCover,128,128,27,1386,120.6612,51.0733,0.0673,0.0001999999999999,1.8139,21.5879,97.1861,True,1386,,,,,1386
HiddenCover,128,128,28,1386,123.7097,49.4634,0.09,9.99999999999e-05,1.9096,22.4653,99.2389,True,1386,,,,,1386
HiddenCover,128,128,29,1386,117.93,62.0153,0.0677,0.0001999999999999,1.8937,21.617,94.3466,True,1386,,,,,1386
HiddenCover,256,256,0,1466,271.5402,87.7265,0.0802,0.0001999999999999,1.8293,53.7324,215.8927,True,1466,,,,,1466
HiddenCover,256,256,1,1466,254.5747,92.8615,0.0881,9.99999999999e-05,2.1613,42.5384,209.7613,True,1466,,,,,1466
HiddenCover,256,256,2,1466,259.4014,93.8854,0.0818,0.0006,2.0066,46.146,211.1631,True,1466,,,,,1466
HiddenCover,256,256,3,1466,256.7962,88.43990000000001,0.0871,9.99999999999e-05,1.8778,51.4124,203.4148,True,1466,,,,,1466
HiddenCover,256,256,4,1466,255.1411,90.203,0.0876,9.99999999999e-05,1.8457,42.639700000000005,210.5645,True,1466,,,,,1466
HiddenCover,256,256,5,1466,247.3849,90.1842,0.0794,9.99999999999e-05,1.7963,43.3904,202.1115,True,1466,,,,,1466
HiddenCover,256,256,6,1466,243.2213,89.75569999999999,0.0914,9.99999999999e-05,1.9388,42.7566,198.4283,True,1466,,,,,1466
HiddenCover,256,256,7,1466,246.0455,92.5096,0.0828,9.99999999999e-05,2.1334,42.9272,200.8966,True,1466,,,,,1466
HiddenCover,256,256,8,1466,244.6578,89.7039,0.0866,9.99999999999e-05,1.9047,43.7961,198.8646,True,1466,,,,,1466
HiddenCover,256,256,9,1466,243.7372,89.316,0.0891,0.0001999999999999,1.9611,42.5766,199.1064,True,1466,,,,,1466
HiddenCover,256,256,10,1466,249.3824,88.90090000000001,0.0867,0.0001999999999999,1.8289,44.2831,203.1775,True,1466,,,,,1466
HiddenCover,256,256,11,1466,248.7083,88.7867,0.0859,0.0003999999999999,2.1246,42.0141,204.477,True,1466,,,,,1466
HiddenCover,256,256,12,1466,254.79990000000004,91.7615,0.0800999999999999,0.0001999999999999,1.912,47.0997,205.703,True,1466,,,,,1466
HiddenCover,256,256,13,1466,247.4443,90.0483,0.0811,0.0001999999999999,1.8231,43.717,201.817,True,1466,,,,,1466
HiddenCover,256,256,14,1466,253.7977,98.323,0.0865,0.0001999999999999,1.9141,41.4375,210.353,True,1466,,,,,1466
HiddenCover,256,256,15,1466,252.79200000000003,87.58370000000001,0.0839,0.0001999999999999,1.8459,42.2305,208.6275,True,1466,,,,,1466
HiddenCover,256,256,16,1466,246.0466,97.3372,0.0864,0.0001999999999999,2.3417,40.9219,202.6929,True,1466,,,,,1466
HiddenCover,256,256,17,1466,259.8672,92.5818,0.0858,9.99999999999e-05,1.9659,47.0232,210.7855,True,1466,,,,,1466
HiddenCover,256,256,18,1466,245.5052,90.943,0.0838,9.99999999999e-05,1.9296,44.3308,199.1557,True,1466,,,,,1466
HiddenCover,256,256,19,1466,253.2223,87.0249,0.0866,9.99999999999e-05,1.9977,41.2387,209.8946,True,1466,,,,,1466
HiddenCover,256,256,20,1466,239.2796,92.6909,0.0825,9.99999999999e-05,1.8912,40.7487,196.5502,True,1466,,,,,1466
HiddenCover,256,256,21,1466,261.2424,99.9818,0.0795,9.99999999999e-05,1.8412,40.645100000000006,218.6726,True,1466,,,,,1466
HiddenCover,256,256,22,1466,259.7508,110.7516,0.0826,9.99999999999e-05,2.2748,47.6917,209.6952,True,1466,,,,,1466
HiddenCover,256,256,23,1466,272.0982,87.42859999999999,0.0759,9.99999999999e-05,2.378,56.4042,213.2351,True,1466,,,,,1466
HiddenCover,256,256,24,1466,252.4723,86.703,0.0832,9.99999999999e-05,2.0511,43.3111,207.0216,True,1466,,,,,1466
HiddenCover,256,256,25,1466,244.7025,90.06500000000001,0.0837,9.99999999999e-05,1.9496,42.559,200.1061,True,1466,,,,,1466
HiddenCover,256,256,26,1466,250.6341,103.2647,0.0898,0.0005,2.2575,42.2178,206.063,True,1466,,,,,1466
HiddenCover,256,256,27,1466,245.1662,101.3139,0.1309,0.0005,1.9037,40.8822,202.2413,True,1466,,,,,1466
HiddenCover,256,256,28,1466,264.43440000000004,89.2637,0.0911,9.99999999999e-05,2.0071,47.3371,214.9906,True,1466,,,,,1466
HiddenCover,256,256,29,1466,251.3008,92.3709,0.0907999999999999,9.99999999999e-05,1.8152,44.0398,205.3493,True,1466,,,,,1466
HiddenCover,512,512,0,1546,542.994,166.0159,0.1389,9.99999999999e-05,1.9137,96.025,444.9013,True,1546,,,,,1546
HiddenCover,512,512,1,1546,550.1213,178.3742,0.1254,0.0001999999999999,1.881,88.4306,459.6668,True,1546,,,,,1546
HiddenCover,512,512,2,1546,578.7148,170.9355,0.2022,0.0001999999999999,2.3199,94.0021,482.1699,True,1546,,,,,1546
HiddenCover,512,512,3,1546,545.0376,174.5792,0.119,9.99999999999e-05,1.8964,87.9225,455.0572,True,1546,,,,,1546
HiddenCover,512,512,4,1546,557.981,180.2978,0.119,0.0001999999999999,1.7851,83.81089999999999,472.2346,True,1546,,,,,1546
HiddenCover,512,512,5,1546,573.3707,186.7285,0.1164999999999999,0.0001999999999999,2.2334,88.7842,482.2167,True,1546,,,,,1546
HiddenCover,512,512,6,1546,527.5427999999999,177.1808,0.1289,0.0001999999999999,1.8293,86.7963,438.7578,True,1546,,,,,1546
HiddenCover,512,512,7,1546,593.2448,173.25119999999998,0.1294,9.99999999999e-05,1.7374,84.9491,506.4102,True,1546,,,,,1546
HiddenCover,512,512,8,1546,546.8005,170.13649999999998,0.1377999999999999,0.0001999999999999,1.7982,83.9588,460.8821,True,1546,,,,,1546
HiddenCover,512,512,9,1546,537.5293,167.7542,0.1256,9.99999999999e-05,1.9191,88.468,446.9971,True,1546,,,,,1546
HiddenCover,512,512,10,1546,525.7819000000001,182.1282,0.1317,0.0001999999999999,2.2319,81.6983,441.702,True,1546,,,,,1546
HiddenCover,512,512,11,1546,540.6706,170.11409999999998,0.1263,0.0001999999999999,2.1988,87.63419999999999,450.69,True,1546,,,,,1546
HiddenCover,512,512,12,1546,518.6023,186.7472,0.121,0.0001999999999999,1.9177,85.78710000000001,430.7588,True,1546,,,,,1546
HiddenCover,512,512,13,1546,522.1774,177.3158,0.1258999999999999,9.99999999999e-05,1.7594,83.47630000000001,436.7971,True,1546,,,,,1546
HiddenCover,512,512,14,1546,536.8498999999999,184.7515,0.1268999999999999,9.99999999999e-05,1.7879,96.0451,438.8709,True,1546,,,,,1546
